2,"Timing of Jagan's letter suspect, but no consent for contempt: AG","Attorney-General KK Venugopal has declined consent to initiate contempt proceedings against Andhra Pradesh Chief Minister YS Jagan Mohan Reddy and his Principal Adviser Ajeya Kallam. Venugopal, however, said the ""timing"" of the Reddy's letter to Chief Justice of India SA Bobde, containing allegations against Supreme Court judge NV Ramana and its public release could ""certainly said to be suspect""."
5,GoDaddy offers staff fake holiday bonus as part of 'phishing test',"Internet domain company GoDaddy sent ""phishing test"" email to its employees promising a $650 one-time holiday bonus, The Copper Courier reported. Those employees who fell for it later received an email from the firm saying they failed the test. However, after facing backlash for the test, GoDaddy apologised and acknowledged it needs to be more sensitive to its employees."
1,My primary job is to act and I love doing that: Saqib Saleem,"Saqib Saleem, who has worked in films as well as digital platforms, said he does not differentiate between the mediums and added, ""My primary job is to act...I love doing that...films and web aren't different for me."" Saqib has starred in web series 'Crackdown' and 'Rangbaaz' and will be next seen in Ranveer Singh starrer '83'."
3,Animal species shaped like hot air balloon discovered in waters near Puerto Rico,"Scientists have discovered a new species of ctenophore (comb jelly), that is shaped like a hot air balloon, in the waters near Puerto Rico. Deep Discoverer, a remotely operated vehicle (ROV), captured high-definition video of the new ctenophore species during an expedition in 2015. This is the first time NOAA scientists have identified a new species using only high-definition video."
3,India's 40th scientific expedition to Antarctica to leave from Goa on Jan 5,"India's 40th scientific expedition to Antarctica will leave on a ship from Goa on January 5 with 43 members, less than the conventional strength, due to COVID-19. The vessel will sail from Goa's MPT to Cape Town, from where it will reach Antarctica in about 18 days. Two helicopters will be added to the expedition at Cape Town."
3,2020 ties with 2016 as warmest year on record: EU,"According to data published by the EU climate monitoring service, 2020 tied with 2016 for the warmest year worldwide. The year was also the warmest year in Europe since records began. It topped the previous temperature record of 2019 in Europe by 0.4°C. The data showed 2020 was 1.25°C warmer than during the pre-industrial period from 1850-1900."
3,Indian spacetech startup Agnikul builds 3D printed rocket engine,"Chennai-based spacetech startup Agnikul Cosmos has developed a single piece, fully 3D printed rocket engine called Agnilet, which can be directly used in a rocket. The engine will be used in the second stage of Agnikul's launch vehicle Agnibaan, CEO and Co-founder Srinath Ravichandran said. Launched in 2017, the startup is involved in building India's private small satellite launch vehicle."
2,Yediyurappa won't be Karnataka CM after Bihar polls: Siddaramaiah,"Leader of Opposition in Karnataka Siddaramaiah said that BS Yediyurappa will not remain the Karnataka CM after the Bihar Assembly elections. ""I have accurate information from New Delhi...don't know if the BJP government will complete its term after Yediyurappa is made to resign,"" he added. ""In case the government cannot continue, we are ready to fight elections,"" Siddaramaiah further said."
6,New York will legalise adult-use recreational cannabis: Governor,"New York Governor Andrew Cuomo vowed on Monday that his state will legalise recreational cannabis this year. ""We will legalise adult-use recreational cannabis, joining 15 states that have already done so,"" he tweeted. The move, Cuomo said, will ""raise revenue and end failed prohibition of this product that has left so many communities of colour over-policed and over-incarcerated""."
1,'Bond girl' Tanya Roberts dies aged 65 after collapsing while walking her dogs,"Actress Tanya Roberts, who played Bond girl in the Roger Moore starrer 1985 film 'A View to a Kill', passed away on Sunday at the age of 65. She was admitted to a hospital after she collapsed while walking her dogs on December 24. ""I feel like a light has been taken away,"" Tanya's representative told The Hollywood Reporter."
5,"Samsung unveils robot that can clean up messy rooms, set the table for meals","Samsung showed its AI-powered robot Samsung Bot Handy at the 2021 Consumer Electronics Show (CES), that can clean up messy rooms, set the table and pour wine. It relies on AI to recognise and pick up objects of varying sizes, shapes and weights. It can detect the item's material composition and use the right amount of force to grab it."
