1,Voter Discontent May Hurt Afghan Leader (AP),"AP - President Hamid Karzai rarely misses an opportunity to laud Afghanistan's 3 million former refugees for ""voting with their feet"" by returning to support their homeland's budding democracy."
3,Stocks to Watch Monday,"British advertising firm WPP &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=WPP.L target=/stocks/quickinfo/fullquote""&gt;WPP.L&lt;/A&gt; has agreed to buy  smaller U.S. rival Gray Global for \$1.31 billion, equally  divided in cash and shares, to put it on par with industry  leader Omnicom &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=OMC.N target=/stocks/quickinfo/fullquote""&gt;OMC.N&lt;/A&gt;. Gray Global shares closed at \$940 on  Nasdaq."
4,TiVo Users to Still See Many Ads,"NEW YORK (Reuters) - TiVo Inc.&lt;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=TIVO.O qtype=sym infotype=info qcat=news""&gt;TIVO.O&lt;/A&gt;, maker of digital  television video recorders, will next year add ways for viewers  to see advertising and corporate logos even as they try to skip  commercials, the company said on Wednesday."
3,CVS chief executive's prescription for growth,"With the purchase of Eckerd Corp. for \$2.15 billion this year, Tom Ryan transformed Rhode Island's CVS Corp. into a national force with more than 5,000 drugstore s. Ryan began working at CVS as a pharmacist in Warwick, R.I., in 1978. Now, as chief executive, he is engineering the integration of 1,260 Eckerd stores. He spoke recently with Globe reporter ..."
1,Death toll up as typhoons lash parts of Asia,"TAIPEI - Rescuers in northern Taiwan yesterday recovered the bodies of 15 people buried by a mudslide which flattened an entire village, as East Asia cleaned up and counted the cost of Typhoon Aere."
2,Cardinals come out slugging,One of the latest additions to St. Louis power-filled lineup helped turn home plate into a launching pad Tuesday at Busch Stadium.
1,Middle East ; Iran still striving for centrifuge exemption,"Middle East News, Iran said yesterday that it was still discussing with Europe on its demand on the exemption of 20 centrifuges from the suspension, sniffing at the prospect of the referral of its nuclear case to the UN Security Council."
1,Flanigan kidnappers  #39;negotiating with Afghan govt #39;,A militant group threatening to kill three United Nations hostages including a Northern Irish woman Annetta Flanigan said today it was talking to the Afghan government about its demand to free Taliban prisoners.
1,EPA Nears New Storm Sewage Guidlines (AP),"AP - The Environmental Protection Agency is leaning toward allowing sewage plants to skip some stages of treatment during heavy rains or melting slow as long as the treated water meets all permits and other safeguards are provided, agency sources said Wednesday."
2,Suns Power Past Lakers 107-102 (AP),"AP - Amare Stoudemire scored 33 points, including the go-ahead three-point play with 51.8 seconds remaining, to power the Phoenix Suns to a 107-102 victory over the Los Angeles Lakers on Friday night."
1,4 soldiers disciplined in abuse case,"WASHINGTON -- At least four members of a special operations task force in Iraq have been disciplined in connection with an investigation of the abuse of prisoners, a Pentagon spokesman said yesterday. In at least one case the violation involved a Taser stun gun."
1,Indonesia Prospective Leader on Hunt for Ministers,"Former general Susilo Bambang Yudhoyono discussed presidential plans and a cabinet with visitors to his home on Wednesday, even though he has yet to declare victory"
2,Ravens - Patriots: 5 keys to the game,The Baltimore Ravens (7-3) have a prime opportunity to exploit the New England Patriots #39; vulnerable secondary in today #39;s game at Gillette Stadium.
